academic_year,semester,school,jae_course_code,course_name,gender,intake
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C78,BUSINESS INFORMATICS,M,53
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C68,BUSINESS ENTERPRISE IT,M,29
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C67,HOSPITALITY & TOURISM MANAGEMENT,M,34
2017,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,ORAL HEALTH THERAPY,F,21
2017,S1,SCHOOL OF ENGINEERING,C51,AERONAUTICAL & AEROSPACE TECHNOLOGY,M,37
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C58,FINANCIAL INFORMATICS,M,25
2017,S1,SCHOOL OF DESIGN,C38,SUSTAINABLE ARCHITECTURAL DESIGN,M,27
2017,S1,SCHOOL OF DESIGN,C38,SUSTAINABLE ARCHITECTURAL DESIGN,F,29
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C57,DIGITAL VISUAL EFFECTS,M,32
2018,S1,SCHOOL OF ENGINEERING,C89,ELECTRONIC SYSTEMS,M,74
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C81,SPORT & WELLNESS MANAGEMENT,M,38
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C94,BUSINESS MANAGEMENT,M,158
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C85,INFORMATION TECHNOLOGY,F,31
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C65,PHARMACEUTICAL SCIENCES,F,67
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C73,CHEMICAL & PHARMACEUTICAL TECHNOLOGY,F,58
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C49,BIOLOGICS & PROCESS TECHNOLOGY,F,24
2018,S1,SCHOOL OF DESIGN,C64,SPATIAL DESIGN,M,23
2018,S1,SCHOOL OF ENGINEERING,C39,AEROSPACE/ ELECTRICAL/ ELECTRONICS PROGRAMME,F,15
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C65,PHARMACEUTICAL SCIENCES,M,25
2018,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,ORAL HEALTH THERAPY,M,3
2016,S1,SCHOOL OF ENGINEERING,C75,MULTIMEDIA & INFOCOMM TECHNOLOGY,M,131
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C66,MOTION GRAPHICS & BROADCAST DESIGN,F,29
2016,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,NURSING,F,641
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C70,GAME DEVELOPMENT & TECHNOLOGY,M,69
2016,S1,SCHOOL OF ENGINEERING,C41,ENGINEERING WITH BUSINESS,M,61
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C68,BUSINESS ENTERPRISE IT,M,21
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C56,FUND MANAGEMENT & ADMINISTRATION,M,22
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C46,FOOD & BEVERAGE BUSINESS,F,37
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C96,BANKING & FINANCE,M,64
2016,S1,SCHOOL OF ENGINEERING,C71,BIOMEDICAL ENGINEERING,M,33
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C94,BUSINESS MANAGEMENT,F,197
